A_07_P054884	ECs2322
A_07_P004660	b0841
A_07_P048491	Z0132
A_07_P034785	c_1812
A_07_P016110	b1886
A_07_P037683	c_5063
A_07_P054616	ECs2211
A_07_P061244	ECs4957
A_07_P015234	b1976
A_07_P063026	ECs0854
A_07_P060086	ECs4422
A_07_P050200	Z1785
A_07_P044872	Z3121
A_07_P047791	Z2099
A_07_P015844	b1833
A_07_P048587	Z3275
A_07_P044129	Z2547
A_07_P057572	ECs4592
A_07_P035369	c_2330
A_07_P036753	c_3754
A_07_P057896	ECs4864
A_07_P032521	c_2893
A_07_P000913	b2225
A_07_P062594	ECs1320
A_07_P020176	b2665
A_07_P046576	Z1019
A_07_P060286	ECs4544
A_07_P037639	c_5039
A_07_P004916	b0894
A_07_P030202	c_3054
A_07_P000250	b3104
A_07_P040200	c_4565
A_07_P035054	c_1958
A_07_P040880	c_1411
A_07_P043556	Z0347
A_07_P051941	Z0532
A_07_P061133	ECs1636
A_07_P014762	b1357
A_07_P017976	b3390
A_07_P039149	c_4745
A_07_P061804	ECs5301
A_07_P054816	ECs2280
A_07_P049339	Z0260
A_07_P012768	b3260
A_07_P031119	c_0514
A_07_P010350	ABE-0285039
A_07_P007604	b3534
A_07_P044422	Z2739
A_07_P056790	ECs0824
A_07_P030384	c_3170
A_07_P037171	c_5381
A_07_P040226	c_1174
A_07_P060368	ECs1365
A_07_P016731	b0595
A_07_P018999	b3838
A_07_P013957	b2334
A_07_P063216	ECs2373
A_07_P062985	ECs0610
A_07_P052740	Z4061
A_07_P010066	b0710
A_07_P033694	c_0966
A_07_P013443	b2477
A_07_P017907	b3376
A_07_P038958	c_4579
A_07_P051268	Z1399
A_07_P051095	Z1338
A_07_P062075	ECs1190
A_07_P046871	Z1167
A_07_P040284	c_1191
A_07_P004583	b0826
A_07_P004392	b0788
A_07_P035766	c_0120
A_07_P048896	ABH-0244103
A_07_P060031	ECs4370
A_07_P045961	Z4583
A_07_P039731	c_4424
A_07_P058702	ECs1975
A_07_P062638	ECs1329
A_07_P044600	Z2983
A_07_P035936	c_0233
A_07_P043637	Z0389
A_07_P014140	b2371
A_07_P052342	Z5694
A_07_P004992	b0909
A_07_P011672	b4191
A_07_P039815	c_4455
A_07_P055145	ECs2646
A_07_P048693	ABH-0244019
A_07_P051649	Z1543
A_07_P016995	b3610
A_07_P059159	ACA-0244228
A_07_P041318	c_4225
A_07_P055304	ECs2740
A_07_P016235	b0489
A_07_P010151	b0727
A_07_P008525	b3964
A_07_P007643	b3542
A_07_P031371	c_2374
A_07_P000776	b2198
A_07_P053487	ECs3441
A_07_P042677	Z3603
A_07_P002737	b0155
A_07_P049374	Z4895
A_07_P053604	ECs0281
A_07_P041286	c_3802
A_07_P048669	ABH-0244001
A_07_P038663	c_1597
A_07_P041824	c_4119
A_07_P035479	ABR-0077948
A_07_P017193	b3650
A_07_P014370	b1277
A_07_P001304	b1014
A_07_P011899	b2951
A_07_P060981	ECs1592
A_07_P034249	c_4040
A_07_P063039	ECs0905
A_07_P009052	b1390
A_07_P012205	b3014
A_07_P020119	b2653
A_07_P000576	b3172
A_07_P005580	b3731
A_07_P041625	c_3179
A_07_P040222	c_4571
